countrycode,country,year,gdppc,pop
FRA,France,1,956,5000.00
FRA,France,1000,,6500.00
FRA,France,1280,1321,
FRA,France,1281,1288,
FRA,France,1282,1253,
FRA,France,1283,1237,
FRA,France,1284,1219,
FRA,France,1285,1253,
FRA,France,1286,1253,
FRA,France,1287,1270,
FRA,France,1288,1304,
FRA,France,1289,1321,
FRA,France,1290,1321,
FRA,France,1291,1321,
FRA,France,1292,1339,
FRA,France,1293,1355,
FRA,France,1294,1270,
FRA,France,1295,1219,
FRA,France,1296,1253,
FRA,France,1297,1288,
FRA,France,1298,1339,
FRA,France,1299,1388,
FRA,France,1300,1423,
FRA,France,1301,1457,
FRA,France,1302,1508,
FRA,France,1303,1541,
FRA,France,1304,1559,
FRA,France,1305,1610,
FRA,France,1306,1710,
FRA,France,1307,1745,
FRA,France,1308,1779,
FRA,France,1309,1795,
FRA,France,1310,1812,
FRA,France,1311,1795,
FRA,France,1312,1830,
FRA,France,1313,1761,
FRA,France,1314,1745,
FRA,France,1315,1694,
FRA,France,1316,1677,
FRA,France,1317,1694,
FRA,France,1318,1710,
FRA,France,1319,1710,
FRA,France,1320,1610,
FRA,France,1321,1610,
FRA,France,1322,1610,
FRA,France,1323,1643,
FRA,France,1324,1659,
FRA,France,1325,1728,
FRA,France,1326,1728,
FRA,France,1327,1694,
FRA,France,1328,1677,
FRA,France,1329,1643,
FRA,France,1330,1610,
FRA,France,1331,1575,
FRA,France,1332,1575,
FRA,France,1333,1592,
FRA,France,1334,1677,
FRA,France,1335,1694,
FRA,France,1336,1710,
FRA,France,1337,1745,
FRA,France,1338,1710,
FRA,France,1339,1694,
FRA,France,1340,1677,
FRA,France,1341,1677,
FRA,France,1342,1659,
FRA,France,1343,1677,
FRA,France,1344,1677,
FRA,France,1345,1677,
FRA,France,1346,1728,
FRA,France,1347,1795,
FRA,France,1348,1846,
FRA,France,1349,1846,
FRA,France,1350,1897,
FRA,France,1351,1897,
FRA,France,1352,1881,
FRA,France,1353,1881,
FRA,France,1354,1948,
FRA,France,1355,1948,
FRA,France,1356,1914,
FRA,France,1357,1897,
FRA,France,1358,1897,
FRA,France,1359,1863,
FRA,France,1360,1846,
FRA,France,1361,1846,
FRA,France,1362,1863,
FRA,France,1363,1863,
FRA,France,1364,1881,
FRA,France,1365,1881,
FRA,France,1366,1863,
FRA,France,1367,1863,
FRA,France,1368,1881,
FRA,France,1369,1897,
FRA,France,1370,1914,
FRA,France,1371,1897,
FRA,France,1372,1897,
FRA,France,1373,1881,
FRA,France,1374,1863,
FRA,France,1375,1863,
FRA,France,1376,1846,
FRA,France,1377,1830,
FRA,France,1378,1830,
FRA,France,1379,1830,
FRA,France,1380,1812,
FRA,France,1381,1795,
FRA,France,1382,1779,
FRA,France,1383,1761,
FRA,France,1384,1761,
FRA,France,1385,1761,
FRA,France,1386,1779,
FRA,France,1387,1795,
FRA,France,1388,1812,
FRA,France,1389,1846,
FRA,France,1390,1881,
FRA,France,1391,1881,
FRA,France,1392,1881,
FRA,France,1393,1863,
FRA,France,1394,1863,
FRA,France,1395,1846,
FRA,France,1396,1881,
FRA,France,1397,1863,
FRA,France,1398,1863,
FRA,France,1399,1846,
FRA,France,1400,1795,
FRA,France,1401,1779,
FRA,France,1402,1761,
FRA,France,1403,1745,
FRA,France,1404,1728,
FRA,France,1405,1745,
FRA,France,1406,1745,
FRA,France,1407,1761,
FRA,France,1408,1761,
FRA,France,1409,1761,
FRA,France,1410,1761,
FRA,France,1411,1761,
FRA,France,1412,1745,
FRA,France,1413,1745,
FRA,France,1414,1745,
FRA,France,1415,1745,
FRA,France,1416,1745,
FRA,France,1417,1728,
FRA,France,1418,1728,
FRA,France,1419,1728,
FRA,France,1420,1728,
FRA,France,1421,1728,
FRA,France,1422,1745,
FRA,France,1423,1745,
FRA,France,1424,1745,
FRA,France,1425,1745,
FRA,France,1426,1761,
FRA,France,1427,1745,
FRA,France,1428,1761,
FRA,France,1429,1761,
FRA,France,1430,1761,
FRA,France,1431,1779,
FRA,France,1432,1779,
FRA,France,1433,1779,
FRA,France,1434,1779,
FRA,France,1435,1779,
FRA,France,1436,1779,
FRA,France,1437,1795,
FRA,France,1438,1795,
FRA,France,1439,1795,
FRA,France,1440,1795,
FRA,France,1441,1795,
FRA,France,1442,1795,
FRA,France,1443,1812,
FRA,France,1444,1812,
FRA,France,1445,1812,
FRA,France,1446,1812,
FRA,France,1447,1830,
FRA,France,1448,1812,
FRA,France,1449,1812,
FRA,France,1450,1812,
FRA,France,1451,1812,
FRA,France,1452,1795,
FRA,France,1453,1812,
FRA,France,1454,1795,
FRA,France,1455,1795,
FRA,France,1456,1779,
FRA,France,1457,1779,
FRA,France,1458,1761,
FRA,France,1459,1761,
FRA,France,1460,1745,
FRA,France,1461,1728,
FRA,France,1462,1728,
FRA,France,1463,1710,
FRA,France,1464,1710,
FRA,France,1465,1710,
FRA,France,1466,1710,
FRA,France,1467,1710,
FRA,France,1468,1710,
FRA,France,1469,1728,
FRA,France,1470,1728,
FRA,France,1471,1745,
FRA,France,1472,1779,
FRA,France,1473,1779,
FRA,France,1474,1761,
FRA,France,1475,1745,
FRA,France,1476,1710,
FRA,France,1477,1677,
FRA,France,1478,1677,
FRA,France,1479,1659,
FRA,France,1480,1677,
FRA,France,1481,1677,
FRA,France,1482,1710,
FRA,France,1483,1710,
FRA,France,1484,1728,
FRA,France,1485,1728,
FRA,France,1486,1728,
FRA,France,1487,1745,
FRA,France,1488,1745,
FRA,France,1489,1745,
FRA,France,1490,1745,
FRA,France,1491,1745,
FRA,France,1492,1745,
FRA,France,1493,1745,
FRA,France,1494,1728,
FRA,France,1495,1728,
FRA,France,1496,1728,
FRA,France,1497,1728,
FRA,France,1498,1728,
FRA,France,1499,1710,
FRA,France,1500,1694,15000.00
FRA,France,1501,1710,
FRA,France,1502,1694,
FRA,France,1503,1677,
FRA,France,1504,1677,
FRA,France,1505,1677,
FRA,France,1506,1659,
FRA,France,1507,1659,
FRA,France,1508,1677,
FRA,France,1509,1659,
FRA,France,1510,1659,
FRA,France,1511,1659,
FRA,France,1512,1659,
FRA,France,1513,1643,
FRA,France,1514,1643,
FRA,France,1515,1643,
FRA,France,1516,1643,
FRA,France,1517,1626,
FRA,France,1518,1643,
FRA,France,1519,1643,
FRA,France,1520,1643,
FRA,France,1521,1643,
FRA,France,1522,1643,
FRA,France,1523,1643,
FRA,France,1524,1643,
FRA,France,1525,1643,
FRA,France,1526,1643,
FRA,France,1527,1643,
FRA,France,1528,1643,
FRA,France,1529,1643,
FRA,France,1530,1643,
FRA,France,1531,1643,
FRA,France,1532,1643,
FRA,France,1533,1643,
FRA,France,1534,1643,
FRA,France,1535,1643,
FRA,France,1536,1643,
FRA,France,1537,1643,
FRA,France,1538,1610,
FRA,France,1539,1592,
FRA,France,1540,1592,
FRA,France,1541,1575,
FRA,France,1542,1575,
FRA,France,1543,1575,
FRA,France,1544,1575,
FRA,France,1545,1559,
FRA,France,1546,1559,
FRA,France,1547,1559,
FRA,France,1548,1541,
FRA,France,1549,1508,
FRA,France,1550,1490,
FRA,France,1551,1474,
FRA,France,1552,1457,
FRA,France,1553,1457,
FRA,France,1554,1457,
FRA,France,1555,1439,
FRA,France,1556,1439,
FRA,France,1557,1439,
FRA,France,1558,1439,
FRA,France,1559,1439,
FRA,France,1560,1439,
FRA,France,1561,1457,
FRA,France,1562,1457,
FRA,France,1563,1474,
FRA,France,1564,1474,
FRA,France,1565,1474,
FRA,France,1566,1474,
FRA,France,1567,1457,
FRA,France,1568,1457,
FRA,France,1569,1474,
FRA,France,1570,1490,
FRA,France,1571,1508,
FRA,France,1572,1524,
FRA,France,1573,1508,
FRA,France,1574,1541,
FRA,France,1575,1541,
FRA,France,1576,1541,
FRA,France,1577,1541,
FRA,France,1578,1541,
FRA,France,1579,1524,
FRA,France,1580,1524,
FRA,France,1581,1524,
FRA,France,1582,1541,
FRA,France,1583,1524,
FRA,France,1584,1559,
FRA,France,1585,1559,
FRA,France,1586,1559,
FRA,France,1587,1559,
FRA,France,1588,1575,
FRA,France,1589,1559,
FRA,France,1590,1559,
FRA,France,1591,1575,
FRA,France,1592,1575,
FRA,France,1593,1592,
FRA,France,1594,1626,
FRA,France,1595,1643,
FRA,France,1596,1626,
FRA,France,1597,1626,
FRA,France,1598,1626,
FRA,France,1599,1610,
FRA,France,1600,1610,18500.00
FRA,France,1601,1626,
FRA,France,1602,1626,
FRA,France,1603,1626,
FRA,France,1604,1610,
FRA,France,1605,1610,
FRA,France,1606,1626,
FRA,France,1607,1626,
FRA,France,1608,1626,
FRA,France,1609,1626,
FRA,France,1610,1626,
FRA,France,1611,1643,
FRA,France,1612,1643,
FRA,France,1613,1643,
FRA,France,1614,1643,
FRA,France,1615,1643,
FRA,France,1616,1643,
FRA,France,1617,1643,
FRA,France,1618,1643,
FRA,France,1619,1643,
FRA,France,1620,1643,
FRA,France,1621,1643,
FRA,France,1622,1643,
FRA,France,1623,1643,
FRA,France,1624,1643,
FRA,France,1625,1643,
FRA,France,1626,1643,
FRA,France,1627,1643,
FRA,France,1628,1643,
FRA,France,1629,1643,
FRA,France,1630,1643,
FRA,France,1631,1643,
FRA,France,1632,1643,
FRA,France,1633,1659,
FRA,France,1634,1659,
FRA,France,1635,1659,
FRA,France,1636,1659,
FRA,France,1637,1659,
FRA,France,1638,1659,
FRA,France,1639,1659,
FRA,France,1640,1659,
FRA,France,1641,1659,
FRA,France,1642,1694,
FRA,France,1643,1728,
FRA,France,1644,1745,
FRA,France,1645,1745,
FRA,France,1646,1745,
FRA,France,1647,1710,
FRA,France,1648,1677,
FRA,France,1649,1659,
FRA,France,1650,1659,
FRA,France,1651,1659,
FRA,France,1652,1659,
FRA,France,1653,1659,
FRA,France,1654,1659,
FRA,France,1655,1659,
FRA,France,1656,1677,
FRA,France,1657,1677,
FRA,France,1658,1677,
FRA,France,1659,1677,
FRA,France,1660,1677,
FRA,France,1661,1677,
FRA,France,1662,1694,
FRA,France,1663,1710,
FRA,France,1664,1710,
FRA,France,1665,1728,
FRA,France,1666,1728,
FRA,France,1667,1728,
FRA,France,1668,1745,
FRA,France,1669,1745,
FRA,France,1670,1745,
FRA,France,1671,1745,
FRA,France,1672,1745,
FRA,France,1673,1745,
FRA,France,1674,1745,
FRA,France,1675,1745,
FRA,France,1676,1745,
FRA,France,1677,1745,
FRA,France,1678,1728,
FRA,France,1679,1710,
FRA,France,1680,1694,
FRA,France,1681,1694,
FRA,France,1682,1694,
FRA,France,1683,1694,
FRA,France,1684,1710,
FRA,France,1685,1710,
FRA,France,1686,1710,
FRA,France,1687,1710,
FRA,France,1688,1710,
FRA,France,1689,1710,
FRA,France,1690,1710,
FRA,France,1691,1710,
FRA,France,1692,1710,
FRA,France,1693,1710,
FRA,France,1694,1694,
FRA,France,1695,1694,
FRA,France,1696,1694,
FRA,France,1697,1677,
FRA,France,1698,1677,
FRA,France,1699,1677,
FRA,France,1700,1694,21471.00
FRA,France,1701,1610,
FRA,France,1702,1610,
FRA,France,1703,1610,
FRA,France,1704,1610,
FRA,France,1705,1592,
FRA,France,1706,1610,
FRA,France,1707,1610,
FRA,France,1708,1610,
FRA,France,1709,1626,
FRA,France,1710,1643,
FRA,France,1711,1643,
FRA,France,1712,1659,
FRA,France,1713,1659,
FRA,France,1714,1659,
FRA,France,1715,1659,
FRA,France,1716,1659,
FRA,France,1717,1677,
FRA,France,1718,1694,
FRA,France,1719,1710,
FRA,France,1720,1728,
FRA,France,1721,1745,
FRA,France,1722,1745,
FRA,France,1723,1728,
FRA,France,1724,1710,
FRA,France,1725,1710,
FRA,France,1726,1710,
FRA,France,1727,1710,
FRA,France,1728,1710,
FRA,France,1729,1728,
FRA,France,1730,1728,
FRA,France,1731,1728,
FRA,France,1732,1728,
FRA,France,1733,1728,
FRA,France,1734,1728,
FRA,France,1735,1710,
FRA,France,1736,1710,
FRA,France,1737,1694,
FRA,France,1738,1677,
FRA,France,1739,1677,
FRA,France,1740,1659,
FRA,France,1741,1659,
FRA,France,1742,1659,
FRA,France,1743,1659,
FRA,France,1744,1659,
FRA,France,1745,1677,
FRA,France,1746,1677,
FRA,France,1747,1677,
FRA,France,1748,1677,
FRA,France,1749,1677,
FRA,France,1750,1677,
FRA,France,1751,1659,
FRA,France,1752,1659,
FRA,France,1753,1659,
FRA,France,1754,1659,
FRA,France,1755,1659,
FRA,France,1756,1659,
FRA,France,1757,1643,
FRA,France,1758,1643,
FRA,France,1759,1643,
FRA,France,1760,1643,
FRA,France,1761,1659,
FRA,France,1762,1677,
FRA,France,1763,1677,
FRA,France,1764,1694,
FRA,France,1765,1710,
FRA,France,1766,1710,
FRA,France,1767,1710,
FRA,France,1768,1694,
FRA,France,1769,1694,
FRA,France,1770,1694,
FRA,France,1771,1694,
FRA,France,1772,1694,
FRA,France,1773,1710,
FRA,France,1774,1710,
FRA,France,1775,1710,
FRA,France,1776,1728,
FRA,France,1777,1728,
FRA,France,1778,1710,
FRA,France,1779,1710,
FRA,France,1780,1710,
FRA,France,1781,1728,
FRA,France,1782,1728,
FRA,France,1783,1779,
FRA,France,1784,1795,
FRA,France,1785,1779,
FRA,France,1786,1761,
FRA,France,1787,1863,
FRA,France,1788,1812,
FRA,France,1789,1779,
FRA,France,1820,1809,31250.00
FRA,France,1821,1953,31460.00
FRA,France,1822,1875,31685.00
FRA,France,1823,1934,31905.00
FRA,France,1824,1986,32127.00
FRA,France,1825,1898,32350.00
FRA,France,1826,1949,32538.00
FRA,France,1827,1908,32727.00
FRA,France,1828,1897,32917.00
FRA,France,1829,1946,33108.00
FRA,France,1830,1898,33300.00
FRA,France,1831,1926,33439.00
FRA,France,1832,2091,33598.00
FRA,France,1833,2053,33718.00
FRA,France,1834,2056,33859.00
FRA,France,1835,2125,34000.00
FRA,France,1836,2090,34178.00
FRA,France,1837,2118,34357.00
FRA,France,1838,2211,34537.00
FRA,France,1839,2130,34718.00
FRA,France,1840,2276,34900.00
FRA,France,1841,2321,35059.00
FRA,France,1842,2260,35218.00
FRA,France,1843,2370,35378.00
FRA,France,1844,2444,35539.00
FRA,France,1845,2359,35700.00
FRA,France,1846,2356,35829.00
FRA,France,1847,2606,35959.00
FRA,France,1848,2437,36089.00
FRA,France,1849,2506,36219.00
FRA,France,1850,2546,36350.00
FRA,France,1851,2499,36479.00
FRA,France,1852,2652,36609.00
FRA,France,1853,2515,36739.00
FRA,France,1854,2627,36869.00
FRA,France,1855,2577,37000.00
FRA,France,1856,2687,37060.00
FRA,France,1857,2836,37120.00
FRA,France,1858,3029,37180.00
FRA,France,1859,2828,37240.00
FRA,France,1860,3016,37300.00
FRA,France,1861,2820,37390.00
FRA,France,1862,3051,37520.00
FRA,France,1863,3145,37710.00
FRA,France,1864,3169,37860.00
FRA,France,1865,3067,38020.00
FRA,France,1866,3083,38080.00
FRA,France,1867,2890,38230.00
FRA,France,1868,3159,38330.00
FRA,France,1869,3198,38890.00
FRA,France,1870,2990,38440.00
FRA,France,1871,3027,37731.00
FRA,France,1872,3312,37679.00
FRA,France,1873,3064,37887.00
FRA,France,1874,3438,38044.00
FRA,France,1875,3537,38221.00
FRA,France,1876,3233,38398.00
FRA,France,1877,3390,38576.00
FRA,France,1878,3333,38763.00
FRA,France,1879,3113,38909.00
FRA,France,1880,3379,39045.00
FRA,France,1881,3497,39191.00
FRA,France,1882,3647,39337.00
FRA,France,1883,3647,39472.00
FRA,France,1884,3591,39629.00
FRA,France,1885,3518,39733.00
FRA,France,1886,3566,39858.00
FRA,France,1887,3585,39889.00
FRA,France,1888,3617,39920.00
FRA,France,1889,3701,40004.00
FRA,France,1890,3787,40014.00
FRA,France,1891,3877,39983.00
FRA,France,1892,3974,39993.00
FRA,France,1893,4041,40014.00
FRA,France,1894,4186,40056.00
FRA,France,1895,4095,40098.00
FRA,France,1896,4280,40192.00
FRA,France,1897,4207,40348.00
FRA,France,1898,4399,40473.00
FRA,France,1899,4640,40546.00
FRA,France,1900,4584,40598.00
FRA,France,1901,4505,40640.00
FRA,France,1902,4423,40713.00
FRA,France,1903,4513,40786.00
FRA,France,1904,4538,40859.00
FRA,France,1905,4613,40890.00
FRA,France,1906,4691,40942.00
FRA,France,1907,4894,40942.00
FRA,France,1908,4854,41046.00
FRA,France,1909,5048,41109.00
FRA,France,1910,4726,41224.00
FRA,France,1911,5180,41307.00
FRA,France,1912,5601,41359.00
FRA,France,1913,5555,41463.00
FRA,France,1914,5158,41476.00
FRA,France,1915,5177,40481.00
FRA,France,1916,5520,39884.00
FRA,France,1917,4748,39288.00
FRA,France,1918,3819,38542.00
FRA,France,1919,4481,38700.00
FRA,France,1920,5144,39000.00
FRA,France,1921,4901,39240.00
FRA,France,1922,5754,39420.00
FRA,France,1923,5984,39880.00
FRA,France,1924,6661,40310.00
FRA,France,1925,6641,40610.00
FRA,France,1926,6773,40870.00
FRA,France,1927,6621,40940.00
FRA,France,1928,7063,41050.00
FRA,France,1929,7508,41230.00
FRA,France,1930,7224,41610.00
FRA,France,1931,6751,41860.00
FRA,France,1932,6311,41860.00
FRA,France,1933,6757,41890.00
FRA,France,1934,6682,41950.00
FRA,France,1935,6513,41940.00
FRA,France,1936,6765,41910.00
FRA,France,1937,7152,41930.00
FRA,France,1938,7119,41960.00
FRA,France,1939,7640,41900.00
FRA,France,1940,6443,41000.00
FRA,France,1941,5274,39600.00
FRA,France,1942,4752,39400.00
FRA,France,1943,4559,39000.00
FRA,France,1944,3861,38900.00
FRA,France,1945,4101,39700.00
FRA,France,1946,6145,40290.00
FRA,France,1947,6596,40680.00
FRA,France,1948,7002,41110.00
FRA,France,1949,7884,41480.00
FRA,France,1950,8266,42518.00
FRA,France,1951,8705,42862.00
FRA,France,1952,8869,43184.00
FRA,France,1953,9060,43495.00
FRA,France,1954,9428,43822.00
FRA,France,1955,9881,44218.00
FRA,France,1956,10278,44657.00
FRA,France,1957,10779,45152.00
FRA,France,1958,10927,45654.00
FRA,France,1959,11124,46129.00
FRA,France,1960,11792,46584.00
FRA,France,1961,12302,47128.00
FRA,France,1962,12859,48089.00
FRA,France,1963,13330,48799.00
FRA,France,1964,14057,49357.00
FRA,France,1965,14609,49802.00
FRA,France,1966,15213,50254.00
FRA,France,1967,15792,50650.00
FRA,France,1968,16365,51034.00
FRA,France,1969,17352,51470.00
FRA,France,1970,18187,51918.00
FRA,France,1971,18881,52432.00
FRA,France,1972,19549,52894.00
FRA,France,1973,20441,53333.00
FRA,France,1974,20902,53690.00
FRA,France,1975,20653,53955.00
FRA,France,1976,21465,54159.00
FRA,France,1977,22177,54378.00
FRA,France,1978,22698,54602.00
FRA,France,1979,23326,54836.00
FRA,France,1980,23537,55110.00
FRA,France,1981,23655,55399.00
FRA,France,1982,24120,55697.00
FRA,France,1983,24300,55929.00
FRA,France,1984,24519,56246.00
FRA,France,1985,24755,56490.00
FRA,France,1986,25238,56725.00
FRA,France,1987,25756,56989.00
FRA,France,1988,26763,57255.00
FRA,France,1989,27576,57821.00
FRA,France,1990,28129,58168.00
FRA,France,1991,28294,58514.00
FRA,France,1992,28620,58801.00
FRA,France,1993,28336,59050.00
FRA,France,1994,28908,59265.00
FRA,France,1995,29419,59474.00
FRA,France,1996,29737,59680.00
FRA,France,1997,30342,59887.00
FRA,France,1998,31323,60103.00
FRA,France,1999,32285,60408.00
FRA,France,2000,33410,60819.00
FRA,France,2001,33920,61259.00
FRA,France,2002,34153,61702.00
FRA,France,2003,34292,62136.00
FRA,France,2004,35094,62591.00
FRA,France,2005,35495,63060.00
FRA,France,2006,36166,63497.00
FRA,France,2007,36846,63886.00
FRA,France,2008,36762,64239.00
FRA,France,2009,35535,64565.00
FRA,France,2010,36087,64880.00
FRA,France,2011,36691,65189.00
FRA,France,2012,36571,65500.00
FRA,France,2013,36632,65945.00
FRA,France,2014,36527,66374.00
FRA,France,2015,36827,66611.00
FRA,France,2016,37124,66787.00
FRA,France,2017,37895,66927.00
FRA,France,2018,38516,67029.00
